from,to,relation
mb,players,0
fr,players,0
bm,players,0
rg,GWISDEK,0
sh,Schneider Berlin,0
ps,Management Goldschmidt,0
fh,agenten,0
gf,DIVINA,0
sh,ps,1
mb,bm,1
mb,rg,1
bm,rg,1
