id,name,sex,role,birth,type,prize,education,location
sahü,Sandra Hüller,1,1,1978,1,99,2,99
schneider,Agentur Schneider,99,99,99,2,99,99,Berlin
sisi,Sisi & Ich,99,99,99,3,99,99,99
erdmann,Toni Erdmann,99,99,99,3,1,99,99
gängen,In den Gängen,99,99,99,3,99,99,99
finster,Finsterworld,99,99,99,3,99,99,99
schwarz,Das schwarze Quadrat,99,99,99,3,99,99,99
